Data;ECC/CEB;Contabilidade;IPREV;Pec�nia;Portabilidade;Estorno;Provisionamento;Baixa;Duvida BRB Serv;Outros;Total;
10/3/2022;25;5;24;;1;;;;42;4;101;
10/4/2022;23;3;21;;1;;;;26;2;76;
10/5/2022;21;20;16;;;;4;;32;;93;
10/6/2022;12;;13;;;;1;13;45;1;85;
07/10/2022.;27;11;13;;1;;;28;29;5;114;
10/10/2022;26;2;45;;;31;1;38;18;3;164;
10/11/2022;22;3;16;;;36;;42;47;2;168;
10/12/2022;FERIADO;;;;;;;;;;0;
10/13/2022;33;2;4;;3;96;1;40;58;2;239;
10/14/2022;14;6;3;1;2;48;;35;44;7;160;
10/17/2022;20;5;4;;1;22;;33;23;;108;
10/18/2022;25;2;5;1;1;52;1;29;50;4;170;
10/19/2022;29;1;3;1;;44;;28;38;6;150;
10/20/2022;14;2;3;;;35;1;23;19;2;99;
10/21/2022;21;6;1;1;1;46;3;32;40;9;160;
10/24/2022;22;2;3;;;64;;44;56;3;194;
10/25/2022;14;2;3;;1;30;3;38;42;1;134;
10/26/2022;7;4;4;;;42;;34;36;2;129;
10/27/2022;2;1;1;;1;20;2;17;21;;65;
10/28/2022;8;1;6;1;;36;;24;18;4;98;
10/31/2022;5;4;2;;3;45;;47;34;;140;
11/1/2022;1;;5;1;2;43;;36;16;2;106;
11/2/2022;FERIADO ;;;;;;;;;;0;
11/3/2022;2;5;9;;1;72;3;33;26;4;155;
11/4/2022;12;2;4;;;43;1;29;32;2;125;
11/7/2022;14;3;5;;1;68;;56;29;1;177;
11/8/2022;12;;3;;;47;;24;22;;108;
11/9/2022;8;;7;;;49;2;33;19;7;125;
11/10/2022;13;;6;1;2;43;1;48;13;2;129;
11/11/2022;;;;;;;;;;;0;
11/14/2022;;;;;;;;;;;0;
Total;432;92;229;7;22;1012;24;804;875;75;3572;
Percentual;12,09%;2,58%;6,41%;0,20%;0,62%;28,33%;0,67%;22,51%;24,50%;2,10%;100,00%;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;E-mails respondidos ;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Data;ECC/CEB;Contabilidade;IPREV;Pec�nia;Portabilidade;Estorno;Provisionamento;Baixa;Duvida BRB Serv;Outros;Total;
10/24/2022;1;1;2;;3;42;2;42;12;2;107;
10/25/2022;2;1;4;1;2;10;3;40;8;1;72;
10/26/2022;7;6;2;;2;10;1;27;18;4;77;
10/27/2022;8;3;;1;2;7;3;20;13;1;58;
28/10/2022.;7;3;7;1;1;21;2;7;8;3;60;
10/31/2022;7;4;1;2;4;20;2;16;12;;68;
11/1/2022;5;5;3;;2;14;;14;7;1;51;
11/2/2022;FERIADO;;;;;;;;;;0;
11/3/2022;4;7;3;2;7;35;1;28;15;2;104;
11/4/2022;22;5;;3;5;22;1;33;12;3;106;
11/7/2022;6;9;14;16;4;51;1;40;23;1;165;
11/8/2022;2;1;7;;3;27;;19;5;1;65;
11/9/2022;5;4;5;;7;23;1;31;14;;90;
11/10/2022;6;5;1;;4;31;1;15;7;1;71;
11//11/2022;;;;;;;;;;;0;
11/14/2022;;;;;;;;;;;0;
Total;76;49;48;26;42;282;17;317;147;19;1023;
Percentual;2,13%;1,37%;1,34%;0,73%;1,18%;7,89%;0,48%;8,87%;4,12%;0,53%;28,64%;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
